11-28-24 (Thursday) TOTAL VOLUME(0600-2000 hr),,,,,,,,,,,
LANE ,Car,Puj,UV,Taxi,Pub,Truck,Trike,Motorcycle,Tricycle,Bike (Excluded From Total),TOTAL
1 South_Westbound,3593,0,39,249,36,21,0,3693,1,4,7632
1a South_Southbound_Uturn,807,0,1,148,27,6,0,1416,0,15,2405
2 South_Northbound,3347,1,185,1157,91,48,0,6681,0,484,11510
2a South_Northbound_Underpass,34978,0,1,1219,79,734,12,27471,0,3,64494
2b South_Northbound_UnderpassBuslane,58,0,0,1,688,5,0,166,0,0,918
3 South_Eastbound,268,1,11,36,140,2,1,554,0,60,1013
4 North_Eastbound,2941,0,8,574,76,46,1,4092,0,56,7738
4a North_Northbound_Uturn,1772,0,0,749,337,14,0,1818,0,0,4690
5 North_Southbound,11544,3,5,1087,36,150,4,18711,0,492,31540
5a North_Southbound_Underpass,10075,0,1,229,11,231,5,15009,0,0,25561
5b North_Southbound_UnderpassBuslane,60,0,0,0,788,0,0,108,0,0,956
6 North_Westbound,417,0,0,78,1,10,0,563,0,23,1089
8 West_Eastbound,8754,2415,60,1310,92,240,0,14456,89,544,27416
9 West_Southbound,865,0,0,256,26,11,0,1389,1,34,2548
11 East_Westbound,10348,2446,40,1067,76,217,0,14187,94,391,28475
12 East_Northbound,1845,0,0,728,22,25,0,2584,1,48,5205
TOTAL,91672,4866,351,8888,2526,1760,23,112898,186,2154,223190
,,,,,,,,,,,
PEAK AM VOLUME(0700-0800 hr),,,,,,,,,,,
LANE ,Car,Puj,UV,Taxi,Pub,Truck,Trike,Motorcycle,Tricycle,Bike (Excluded From Total),TOTAL
1 South_Westbound,246,0,7,10,2,1,0,272,0,0,538
1a South_Southbound_Uturn,32,0,0,8,2,0,0,102,0,0,144
2 South_Northbound,207,0,24,91,6,2,9,413,0,50,743
2a South_Northbound_Underpass,1880,0,0,94,9,33,0,1831,0,1,3847
2b South_Northbound_UnderpassBuslane,4,0,0,0,47,0,0,20,0,0,71
3 South_Eastbound,14,0,0,3,9,0,0,25,0,3,51
4 North_Eastbound,263,0,1,44,11,5,0,363,0,5,687
4a North_Northbound_Uturn,68,0,0,51,30,5,0,81,0,3,235
5 North_Southbound,878,0,0,84,0,12,1,1608,0,0,2583
5a North_Southbound_Underpass,973,0,1,15,2,20,0,2649,0,0,3660
5b North_Southbound_UnderpassBuslane,0,0,0,0,64,0,0,0,0,0,64
6 North_Westbound,46,0,0,22,0,0,0,56,0,2,124
8 West_Eastbound,698,221,6,99,6,6,0,763,5,32,1804
9 West_Southbound,52,0,0,24,3,2,0,94,0,4,175
11 East_Westbound,786,259,4,104,8,15,0,1197,17,84,2390
12 East_Northbound,111,0,0,57,1,2,0,185,0,7,356
TOTAL,6258,480,43,706,200,103,10,9659,22,191,17472
,,,,,,,,,,,
PEAK PM VOLUME (1700-1800 hr),,,,,,,,,,,
LANE ,Car,Puj,UV,Taxi,Pub,Truck,Trike,Motorcycle,Tricycle,Bike (Excluded From Total),TOTAL
1 South_Westbound,250,0,0,10,3,0,0,220,0,1,483
1a South_Southbound_Uturn,51,0,0,6,0,1,1,138,0,4,196
2 South_Northbound,274,0,2,52,6,2,0,654,0,95,990
2a South_Northbound_Underpass,2422,0,1,80,7,40,1,2679,0,1,5230
2b South_Northbound_UnderpassBuslane,2,0,0,0,54,0,0,0,0,0,56
3 South_Eastbound,14,0,1,2,8,0,0,30,0,2,55
4 North_Eastbound,267,0,3,25,7,7,0,325,0,4,634
4a North_Northbound_Uturn,127,0,0,56,23,0,0,199,0,3,405
5 North_Southbound,853,0,0,48,0,8,0,1101,0,33,2010
5a North_Southbound_Underpass,947,0,0,31,0,22,0,929,0,0,1929
5b North_Southbound_UnderpassBuslane,9,0,0,0,69,0,0,9,0,0,87
6 North_Westbound,28,0,0,0,0,0,0,11,0,0,39
8 West_Eastbound,731,175,7,118,12,16,0,1316,12,97,2387
9 West_Southbound,48,0,0,6,2,1,0,136,0,2,193
11 East_Westbound,922,204,2,96,2,14,0,1494,9,38,2743
12 East_Northbound,141,0,0,37,4,1,0,229,0,10,412
TOTAL,7086,379,16,567,197,112,2,9470,21,290,17849
